Country name,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961
BAHAMAS,37.6997003,37.15884116,36.5965035,36.01378621,35.41378621,34.7992008,34.17072927,33.52867133,32.87592408,32.20779221,31.53086913,30.87302697,30.27022977,29.74615385,29.31488511,28.96363636,28.65584416,28.33946054,27.97702298,27.55444555,27.08341658,26.58311688,26.08411588,25.60819181,25.16113886,24.73376623,24.31538462,23.88961039,23.44495504,22.97842158,22.4959041,22.00539461,21.51888112,21.04495504,20.58321678,20.13096903,19.69210789,19.27122877,18.86933067,18.49120879,18.13076923,17.76663337,17.36933067,16.91868132,16.40859141,15.84705295,15.24545455,14.62177822,13.99090909,13.35634366,12.72037962,12.0962038,11.4993007
BOSNIA AND HERZEGOWINA,75.08445098,75.17482353,75.28082353,75.41037255,75.55776471,75.70982353,75.85617647,75.98347059,76.07505882,76.2102549,76.38782353,76.42311765,76.0657451,75.18360784,73.56870588,71.38864706,69.33329412,68.34460784,69.03913725,71.75311765,76.12839216,81.23662745,85.75911765,88.75511765,89.8967451,89.49539216,88.0304902,86.25994118,84.74443137,83.59594118,82.64996078,81.86741176,81.14039216,80.3902549,79.64366667,78.95390196,78.2927451,77.61935294,76.90531373,76.13598039,75.32235294,74.49211765,73.68592157,72.93056863,72.23576471,71.58445098,70.94433333,70.26960784,69.52670588,68.7034902,67.80762745,66.84939216,65.84709804
BELARUS,46.65122468,46.64136809,46.68572273,46.77180877,46.87407553,46.95909315,47.11680631,47.3336619,47.64088153,47.97593807,48.3015333,48.63678943,48.94498127,49.32459081,49.47249063,49.64011043,49.87675015,50.08873989,50.25635969,50.4190495,50.47820943,50.36481956,50.25635969,50.23170972,50.13803983,49.99014001,49.84717018,49.51193059,49.17669099,48.85624137,48.52593177,48.19562217,47.87024256,47.53993295,47.2490633,46.95819365,46.65253402,46.39617432,46.17925458,45.935634,45.63829619,45.30155788,44.93973575,44.56714652,44.17424571,43.75148886,43.31319266,42.87367383,42.44724906,42.02437389,41.59550385,41.17495563,40.77704595
BELIZE,14.55063569,14.20692679,13.86584831,13.52893468,13.19666813,12.8690925,12.54695309,12.23081982,11.92108724,11.61946515,11.32599737,11.0375274,10.74958352,10.45971065,10.16483998,9.86773345,9.578430513,9.310609382,9.073301184,8.871021482,8.698816309,8.544234985,8.389653661,8.222358615,8.038930294,7.843314336,7.639193336,7.433011837,7.229986848,7.029460763,6.83121438,6.641736081,6.469355546,6.319640509,6.195002192,6.092590969,6.005743095,5.924813678,5.842218325,5.756510302,5.668303376,5.574221833,5.470933801,5.356378781,5.228408593,5.088163086,4.940771591,4.793686979,4.652389303,4.518632179,4.391319597,4.269574748,4.151731697
BERMUDA,1300.48,1295.96,1291.28,1302.48,1312.72,1305.46,1297.76,1290.46,1283.08,1274.8,1266.5,1258.24,1250.08,1236.66,1225.7,1218.86,1209.94,1202.58,1194.92,1186.4,1178.2,1171.9,1180.42,1186.52,1176.82,1166.94,1156.98,1147.64,1137.96,1128.46,1118.6,1108.98,1101,1093.4,1076,1072,1068,1064,1060,1068,1076,1084,1092,1100,1080,1060,1040,1020,1002,978,954,932,910
BOLIVIA,9.850641558,9.68917659,9.530550171,9.37561248,9.224966307,9.077908243,8.932388073,8.785558017,8.635381704,8.481131727,8.323444106,8.163343487,8.002460999,7.842029909,7.682459153,7.523505954,7.365015231,7.206639897,7.048243331,6.889848611,6.731971753,6.575550632,6.421800055,6.27162005,6.125411243,5.983073018,5.844381981,5.708889504,5.576254962,5.44643866,5.31955414,5.195557094,5.074413367,4.95606111,4.84055294,4.727783624,4.617346072,4.508708576,4.401529586,4.295586633,4.191080033,4.088612573,3.989037201,3.892964091,3.800565864,3.711635743,3.625921721,3.543022247,3.462611465,3.38464322,3.309131358,3.235878335,3.164654297
BRAZIL,23.97207094,23.76796979,23.56207649,23.35569325,23.14999773,22.94356962,22.7319686,22.50911267,22.27079266,22.01569763,21.74562175,21.46336003,21.17315635,20.87843683,20.57950238,20.27632308,19.97160337,19.66854145,19.36923957,19.07516613,18.7854153,18.49669723,18.20423432,17.9045028,17.59705616,17.282867,16.96162376,16.63329329,16.29824853,15.95621478,15.60821654,15.25763148,14.90891394,14.565494,14.22854068,13.89794595,13.57422919,13.25753122,12.94781578,12.64556875,12.35067144,12.06161562,11.77628922,11.49303087,11.21181435,10.93275418,10.65456621,10.3757385,10.09547208,9.812831084,9.528796718,9.246869399,8.971857016
BARBADOS,661.9627907,658.6534884,655.3581395,652.0837209,648.8511628,645.6604651,642.5046512,639.355814,636.2046512,633.0348837,629.8697674,626.8,623.944186,621.372093,619.1162791,617.1395349,615.3627907,613.6837209,612.0116279,610.327907,608.6372093,606.8906977,605.0581395,603.1069767,601.0302326,598.8302326,596.5116279,594.0697674,591.5209302,588.8209302,585.9976744,583.2093023,580.6883721,578.5674419,576.9651163,575.7953488,574.7348837,573.3395349,571.3093023,568.4953488,565.0488372,561.3186047,557.8232558,554.9209302,552.744186,551.155814,549.9209302,548.6883721,547.1953488,545.2976744,543.0697674,540.7302326,538.6023256
BRUNEI DARUSSALAM,79.27590133,78.22352941,77.1370019,76.00929791,74.83870968,73.62751423,72.37950664,71.1,69.79411765,68.46242884,67.10607211,65.73187856,64.34800759,62.96034156,61.57514231,60.19240987,58.80531309,57.40246679,55.97779886,54.52941176,53.06489564,51.60056926,50.15787476,48.75313093,47.38956357,46.06413662,44.77836812,43.53187856,42.3227704,41.15464896,40.02371917,38.90948767,37.78519924,36.6316888,35.44174573,34.22201139,32.98254269,31.74098672,30.51062619,29.29544592,28.09449715,26.91214421,25.75085389,24.61461101,23.50379507,22.42239089,21.37950664,20.38709677,19.45275142,18.58140417,17.7686907,17.00094877,16.25787476
BHUTAN,19.77980953,19.46171,19.13657948,18.80890416,18.4836687,18.15880054,17.82314978,17.4611853,17.06369861,16.63019125,15.48701005,15.03655779,14.59517588,14.17964824,13.78389447,13.41047739,13.0941206,12.87924623,12.79158291,12.85396985,11.10921816,11.30715065,11.44843011,11.46625859,11.33315498,11.07176337,10.7268797,10.36727094,10.04310511,9.767395073,9.524388417,9.301457526,9.076514779,8.833871969,8.572887015,8.301971192,8.025019798,7.747918584,7.475547375,7.208484044,6.946964022,6.695267855,6.458446589,6.240074482,6.042034972,5.863364938,5.701110802,5.550670976,5.408428397,5.273377138,5.145731224,5.024463326,4.908674529
BOTSWANA,3.566326116,3.535916574,3.505551144,3.474919274,3.443818044,3.412063946,3.379364071,3.345409631,3.309874191,3.272703051,3.233642122,3.19195384,3.146734777,3.097374411,3.043643358,2.985809821,2.924406684,2.860249149,2.794016551,2.72592769,2.656120198,2.58513225,2.513565543,2.441924726,2.370511531,2.299493586,2.229049106,2.159296314,2.090337551,2.022488663,1.955889048,1.890236974,1.825073668,1.760157394,1.695352284,1.631064175,1.56825296,1.50820673,1.451848323,1.399544757,1.351057823,1.30594463,1.263479964,1.223115064,1.184719355,1.148404002,1.114107247,1.081814974,1.051477776,1.022936848,0.996036914,0.970747975,0.947061211
CENTRAL AFRICAN REPUBLIC,7.410217021,7.263811037,7.12096215,6.982440849,6.848128351,6.717881794,6.592341648,6.472281614,6.357984205,6.249951844,6.147285627,6.04714116,5.945688465,5.840181065,5.729755369,5.615172237,5.497340204,5.377859642,5.258106199,5.13761758,5.016443546,4.897089794,4.782798806,4.675630036,4.577360429,4.486781277,4.399351504,4.308668015,4.210390382,4.102757713,3.987932197,3.870297602,3.756215288,3.6503403,3.553881345,3.465579954,3.384601432,3.309287618,3.238272497,3.171718193,3.109767569,3.050924588,2.993266236,2.935423288,2.876737616,2.817522232,2.758608623,2.701329096,2.646682076,2.594810427,2.545450897,2.498725481,2.45469999
